INDIVIDUAL,Lake,SITE,DATE ,COLLECTOR,# of rocks,rock 1,rock 2,rock 3,rock 4,rock 5,EXAMINED BY,DATE EXAMINED,Microscope,MAGNIFICATION,Order,Family,Genus ,SIZE (mm),Notes 
3,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
4,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
5,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,12.5,
6,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,12.5,
7,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
8,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
9,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
10,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
11,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
12,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
13,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
14,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
15,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
16,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
17,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,10,
18,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
19,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
20,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
21,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,10,
22,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
23,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
24,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
25,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
26,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
27,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
28,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
29,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
30,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,8,
31,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
32,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
33,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
34,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
35,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
36,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
37,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
38,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
39,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.35,
40,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
41,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,10,
42,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
43,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
44,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
45,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
46,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
47,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
48,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
49,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
50,GL4,Gl4_6OUT,7/3/18,SY,5,0.5,0.5,2,2.2,2,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,3.125,
1,Albion,Albion_1W,7/5/18,SY,5,2,2,2,2,1.9,SY,7/11/18,SZ51,0.8,diptera,chironomidae,,3,
1,Albion,Albion_2W,7/5/18,SY,5,0.6,2,0.5,2,1.5,SY,7/11/18,SZ51,0.8,NONE,,,,
1,Albion,Albion_3E,7/5/18,SY,5,2,3,1.8,2.1,2.2,SY,7/11/18,SZ51,0.8,NONE,,,,
1,Albion,Albion_4E,7/5/18,SY,5,1.5,2.1,3.1,3.1,0.8,SY,7/11/18,SZ51,0.8,NONE,,,,
1,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,10,
2,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
3,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/12/18,SZ51,0.8,ephemerop,baetidae ,,12.5,
4,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,6.25,
5,Albion,Albion_5IN,7/5/18,SY,5,1,0.5,1.1,0.3,0.6,SY,7/11/18,SZ51,0.8,ephemerop,baetidae ,,9.375,
