INDIVIDUAL,Lake,SITE,DATE ,COLLECTOR,# of rocks,rock 1,rock 2,rock 3,rock 4,rock 5,EXAMINED BY,DATE EXAMINED,Microscope,MAGNIFICATION,Order,Family,Genus ,SIZE (mm),Notes 
39,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,2,
40,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
41,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
42,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
43,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
44,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
45,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
46,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,2,
47,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,2,
48,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,1,
49,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
50,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,1,
51,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,1,
52,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,4,
53,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,2,
54,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
55,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
56,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
57,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,1,
58,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,3,
59,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,2,
60,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,2,
61,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,1,
62,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,diptera,chironomidae,NA,1,
1,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,trichop,apataniidae,apatania,2,
2,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,trichop,apataniidae,apatania,1.3,
3,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,trichop,apataniidae,apatania,3,
4,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,trichop,apataniidae,apatania,3,
5,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,trichop,apataniidae,apatania,3,
6,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,trichop,apataniidae,apatania,3,
7,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,trichop,apataniidae,apatania,2,
1,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,rhynchobdellida,glossiphoniidae,NA,3,
2,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,rhynchobdellida,glossiphoniidae,NA,5,
3,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,rhynchobdellida,glossiphoniidae,NA,3,
4,GL1,Gl1_7W,8/9/18,SY,5,1.7,2,1.5,3,1.8,SY,8/16/18,SZ51,0.8,rhynchobdellida,glossiphoniidae,NA,3,
1,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
2,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
3,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
4,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
5,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
6,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
7,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
8,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
9,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
10,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
11,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
12,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
13,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
14,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
15,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
16,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
17,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
18,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
19,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
20,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
21,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
22,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
23,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
24,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
25,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
26,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
27,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
28,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
29,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
30,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
31,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
32,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
33,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
34,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
35,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
36,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
37,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
38,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
39,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
40,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
41,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
42,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
43,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
44,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
45,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
46,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
47,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
48,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
49,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
50,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
51,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
52,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
53,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
54,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
55,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
56,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
57,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
58,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
59,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,5,
60,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
61,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
62,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
63,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
64,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
65,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
66,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
67,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
68,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
69,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
70,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
71,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
72,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
73,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
74,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
75,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
76,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,5,
77,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
78,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
79,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
80,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
81,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,0.5,
82,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
83,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
84,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,4,
85,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,5,
86,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
87,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
88,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
89,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
90,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
91,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
92,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
93,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
94,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
95,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
96,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
97,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
98,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,5,
99,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
100,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
101,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
102,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
103,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
104,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,5,
105,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
106,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
107,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
108,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
109,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
110,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
111,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
112,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
113,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
114,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
115,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
116,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,2,
117,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
118,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,5,
119,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
120,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
121,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
122,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
123,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,4,
124,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
125,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
126,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
127,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,3,
128,GL4_waterfall,GL4_waterfall_high,8/7/18,SY,5,1.6,1.9,0.5,3.5,1.2,SY,8/17/18,SZ51,0.8,diptera,chironomidae,NA,1,
